"SURVEY_YEAR","NUM_MALE_LE119","CV_NUM_MALE_LE119","CI_NUM_MALE_LE119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE135","CV_NUM_MALE_GE135","CI_NUM_MALE_GE135","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1988,179337.5703628235109994911589699494156059,0.3839482782641110208902839943609798892952,134958.4486829949040750072050122258857773,262247.407680643831852975640058716634902,0.3524156095447834649789530610610014889486,181143.3568574543129070357567046740491206,101363.2382748969145721059688148655790405,0.5326927876772145647003466036291666183412,105831.1132907033588582930189140797325067,441584.9780434673428524667990286660505079,0.1670908716004142973111307891390460174295,144618.2449791882262058919748906271550491,66326.9171602047848807223689546597919235,0.69967947164323044469275862288759383845,90958.8614145777411718589873437915030309,170319.8441555611697837963090441033826798,0.3766028703907045829991294533836490271518,125720.1666992243411092840156939687744112,,,
1989,129764.3335281225296759377174397681134932,0.4300466247384391677743079827953989772237,109377.2387445962520294318668544398721452,97400.8235236782381997406234141733240244,0.5233265260636014255481933615399967260343,99905.9718363456670345076053509267433844,67156.3926958904766598901319944153163311,0.6746542621937560333995041713059549358629,88802.3992690466670107638873405368000993,227165.1570518007678756783408539414375176,0.3237879015939486227850145646669984970387,144164.5258534422081095729400299783345947,82273.4916799522523814297119757991436882,0.6900256362135956990150083105334811888434,111270.8041423471297152303097488304372816,150274.3314029572921549157755714142687645,0.3572821407366229517689912644554127799143,105233.0562499700782760282156771477982306,,,
1990,63938.4578024704760295859302010822922514,0.6708608886754508356737397710374012767688,84071.8688189301875188247403917385206962,313431.3666749154733228605777663096605257,0.2711623867554264955713360413674160815638,166581.9630443072370468676362719645889302,190550.2431074147991068813321596165410751,0.389278720219121425163904745689544663514,145387.2233576219168272019460716020958189,377369.8244773859493524465079673919527776,0.2257764408014146613806650305836450874712,166994.3830392631896892962353475130644746,0,0,0,190793.3505142673679177712722076945544496,0.3817479251070215247175393961499286858905,142756.5327387549619166181304600962827627,,,
1991,122404.0416032712707437706139541863430024,0.5535833990232918454675068989456239654545,132811.2569936575777740546498015555295002,265013.3785703306585768544222839318424685,0.400426450492420492337618579190347017868,207991.998367286334611829585107989858381,91616.8939796525099552788284158868259713,0.7105729465261787993629587591303348992058,127596.9531611285020483559413719294154646,387417.4201736019293206250362381181854704,0.2771016825383874754152323627275735642906,210413.8771905815662489828131126999003158,0,0,0,198324.4656466742449833912269519518655265,0.3044540336651792171718471448263592564855,118346.1397396176298655141606035033647227,,,
1992,158575.9695760494906628785830576903295047,0.4449744723828324095955881397333972502213,138302.0264536094647210644976947870265871,160117.6207984320682678975082088201673229,0.3176202453511142490489815144965292904372,99678.9320859479479575044878963709258712,93366.3033610416160904895080278724424418,0.5008485037527370057330047588531886131389,91654.2517450315937932255650953322696897,318693.5903744815589307760912665104968272,0.1752409329814325923878554503068219304191,109462.3977403562418056272031678067643299,0,0,0,0,0,0,,,
1993,55457.8565723507533917333323739592004887,0.6614402961894536688120242142405967049896,71896.8397114059273774145995020019739763,162757.6528937174032487763802732841243128,0.3406334913735908337274702997248791616753,108663.7868037976374213040653976900489712,109585.9643541209944018994630987397021973,0.3975823387817959729479327429126495635579,85396.1102509171030052048139982734831986,218215.5094660681566405097126472433248012,0.2131141697660817346706847731998414554904,91149.4415746895832502889009981170839724,28911.5311372463362910616144551005896217,1,56666.6010290028191304807643319971556587,27535.3654074906977677602676423646925272,1,53969.3161986817676248101245790347973533,,,
1994,131921.2113402781889412639522450093799715,0.4331522534305994654004865379369649242469,111998.2611359782665189620495679319236541,254495.2848444095966162262522147362723845,0.300074790735707037763314815021881041688,149680.5339121043144517724130896624218465,221261.2265599065072481067555677357554891,0.3487108799463780907247167346824043808498,151226.1461429710460292217454103449993077,386416.4961846877855574902044597456523563,0.2367644691829185974949076646354887772657,179319.8053412741502982367524823476200433,33104.9183059766457366654126980823481322,1,64885.6398797142256438642088882414023391,89994.2944307405788300258972926633903815,0.5285804400850439062423737180695276859628,93235.6785604739872026226520481598565987,,,
1995,651885.678251460436407855433440436714249,0.6162630317240724203187480657289160085596,787396.767056826529898304680035301573397,98028.8231012860318332652252675453521782,0.6982085734251292144017686859316590387244,134151.3468749028117576360879594098291802,98028.8231012860318332652252675453521782,0.6982085734251292144017686859316590387244,134151.3468749028117576360879594098291802,749914.5013527464682411206587079820664276,0.5166256820904409253675664014038226352532,759353.1779109160352270372418105520345288,485681.7649292616585198382998958034874197,0.7796276304211279042093520916675843955183,742155.8101198809953877380110225749473673,128480.1623547546355743771817559198333312,0.5472867703067588148244199690075231595102,137818.3664830984947177062836705221425922,,,
1996,443351.6247685039794143634462137756162396,0.389994933650954546457092202023356143957,338893.5794718457873369035904015089119504,207362.3961313382593861349599561487518381,0.3475334775237907918715133154905924564839,141248.1342849721013383349501411687486767,144106.776291171255048259195501987426409,0.4725335882698210839094213670753109021813,133466.7725059325235980669928121552722237,650714.0208998422388004984061699243680753,0.2534187290913427789833379666858009382211,323210.1155495767475615104757262559910569,98014.8662793388413605517918029909392866,0.7380450538390374306836027598011072701932,141785.1990299149515154919760324255810384,61357.6245505370183290320265009684689381,0.6814924750180241563174766182621989958299,81956.9284556974230480270278731700253666,,,
1997,62710.587850610745968326961945787259684,0.9999999999999999999999999999999999999984,122912.7521871970620979208454137430289804,193687.27024278936270065312883893376053,0.2729634296804989773544793683709323053478,103624.3014790138551368158925878138256036,129126.4418876546523329435738085874538881,0.4092729470155274049635340477512597073783,103582.0004416197356251780384702574976561,256397.858093400108668980090784721020214,0.3574202406913927882574315407849189005764,179617.8969389012529631673273652224215891,61593.5793473061141373787927476637896601,0.6668201523889199255371717445422428276425,80500.80633443740046135935963725518063,158756.2574390292634508230955464473571097,0.4419688961547991444886124302713597187671,137524.0426016699720771449904715000111115,,,
