"SURVEY_YEAR","NUM_MALE_LE102","CV_NUM_MALE_LE102","CI_NUM_MALE_LE102","NUM_MALE_103TO124","CV_NUM_MALE_103TO124","CI_NUM_MALE_103TO124","NUM_MALE_GE103","CV_NUM_MALE_GE103","CI_NUM_MALE_GE103","NUM_MALE_GE110","CV_NUM_MALE_GE110","CI_NUM_MALE_GE110","NUM_MALE_GE125","CV_NUM_MALE_GE125","CI_NUM_MALE_GE125","NUM_MALE_GE125_NEW","CV_NUM_MALE_GE125_NEW","CI_NUM_MALE_GE125_NEW","NUM_MALE_GE125_OLD","CV_NUM_MALE_GE125_OLD","CI_NUM_MALE_GE125_OLD","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE"
1989,156423578.981828704027536678302280254791,0.2348184319155072222693609485920073136594,71993033.48100403975992724372882310591746,29515642.06521509805248572137582005420664,0.1763251556517733145320482413942280874273,10200526.35536971705838981250393004662204,50185370.95258420162292408558235494078218,0.1988536237450244142830535850667106339697,19559904.0309029263574231900741309864651,38333316.78704292126765079961364747774316,0.222240758012523962860200635238062337812,16697681.74457779173614028072253817049035,20669728.88736910357043836420653488657548,0.2813125142550047125170062724022935233053,11396720.66845920314234664456880929598321,17061321.86339453074437278178173869814787,0.3323873471440512117359528817232187820937,11115096.32537123681027533998938377261782,3608407.02397457282606558242479618842762,0.3570913666202219173167207450350148427995,2525520.75120565264188594737975005238863,101925543.443175062928993113574027769379,0.2090426196016598459732236193645982951193,41761293.9071408352138917308209588702242,43301108.35946322612003020883050255049849,0.2265737060184566425883551365324183018488,19229349.48759229853106692989459350790149
1990,130022079.714599655563327470473810357883,0.144652144244404231687197751939238802298,36863626.35447404175687370488052972090562,34681216.1163811079189586244286697621684,0.2451632928484377248043427006818873989569,16665019.84043738729292853966292957296827,65541604.40758611975627462332269162646881,0.2791255419100445416766310865613063169811,35856898.26192562946883088464647302584061,53352456.18384334434066092773100702335325,0.2972205560401866017422824013064843560067,31080595.51842035742370822237930533772302,30860388.2912050118373159988940218643003,0.3230987260826455361069664106520686552478,19543066.20087609414192511128586918995111,26644874.75955166607408083988947796558436,0.3629126652390190799481684306475479045613,18952734.52733957506937408039474190460368,4215513.53165334576323515900454389871594,0.2864127263543235682798511117065828122121,2366458.37822538057372284033438874768595,75081348.67466453883611761581872580628079,0.1839778459381997844099151373390026053244,27074077.40662739846181678357041200149743,107461559.122429809120602225639399364348,0.4347238544044720902513411789319245727729,91563562.23675282197440723948532744150984
1991,162736348.029637690773459967285520508737,0.192639284595105163629705670031594019326,61444850.77761693484327436426050543259151,36577477.55199139022511492427807455892403,0.1692127003748011142745697192333171955203,12131172.5489634204067460862132117966129,65224946.31497609129076726703461249271669,0.1761668356981969736636619453505259026862,22521325.90575245800659905442016892966555,54404332.8459845988598273350602642509858,0.1918263624493647033187205858965912877542,20454923.13180624883996168814466388161571,28647468.76298470106565234275653793379269,0.2055713856866876183320235831441562611314,11542635.70604481310282538303370041745919,17264221.79110646213387470661524493591646,0.2995192831381186620711816843030964326463,10135095.97622700127976543048110262982083,11383246.9718782389317776361412929978761,0.1978837474404364127651675805159715614852,4415016.75491712137861107026022791842122,84133158.79829768629070723745263777794148,0.3034672371689055558944984940367202263728,50042048.21943190635151577178576715297464,109166479.258836555106067093633992707116,0.2257221034709401288276282337779241070315,48296923.1605698349409586126775311080289
1992,101863534.507916566309135345986661868498,0.1577350239758524628232437699719391671221,31492196.23342773680895536365513244248659,22651957.25897379651330513308318589911851,0.1328759237829525238153866063879586879973,5899403.50270507668559114844427402949622,43160589.88393310817971337859836855055394,0.1833042310084114953059139396171730879501,15506576.72754581418908144731666725503628,35145008.33347555141381823783748488988611,0.211558466745963752097291162218617980153,14573039.19053624452350135144559457440843,20508632.62495931166640824551518265143539,0.2912199103161061313683329156350972198653,11706143.42134337327113190652080556988835,11892455.64537139616661066996654385112515,0.4696743457275236574327552980349418856123,10947739.39569347498240095572266987131591,8616176.97958791549979757554863880031023,0.2735555665814840599314192925762550730141,4619726.22381832399527199823233922988141,48624836.98662639643655806961839432769863,0.1990026465039089400477731614494667624074,18965883.6424732267576835139266333010069,97021666.54169410465801869501911301929919,0.2264896370677111426620617085606784209318,43069828.00375627042575857258097985655121
1993,58140292.02605140569705006564092448095222,0.1415219751141517147570812956295827158581,16127132.76403110641736705017470534812541,14603604.51033068476631923645991021674305,0.1517216987726235173140964801361306257075,4342740.02164139990030939467237881761492,23404593.88391788803219088795078110739126,0.1831104300842168203023564650001073549322,8399825.49398004467769022770378449171347,18396638.18005457340702423102423787901933,0.2094436527778805324434018219417280120252,7551995.83455675422802385912604274912799,8800989.37358720326587165149087089064814,0.2604333093716845829769633994065989682925,4492458.74508435543891829362209395675146,5077650.22651707501293440864310283598853,0.3547383930985002550259956697846001485504,3530425.46485896991801134409508971165171,3723339.14707012825293724284776805465963,0.2964401875984726034077951107189469900135,2163344.81629040335649856035380485790456,26439142.7698776687800905921242832311591,0.2008203263151750395418708968760116815176,10406653.8659390552132748714442136254879,42603906.80529490536410209210172812127646,0.1960367898188460843499870678954730106971,16369788.92274855527388330229405446297584
1994,46819387.59353275839667524381856646929339,0.1645291014743170974894061971137811375005,15098177.47378979899799625718477447585493,12633672.53371341017755786395841649123272,0.1522008577716399315181599718500387297316,3768797.36101688971510243479958770069593,19959942.43850454341409644943171932707961,0.1641124080413253741346855419692884122055,6420321.46718048027010755887025320523059,15934566.6385044519303464475318412786036,0.1821416812541955491737384897385168117316,5688603.56488466359147044948701111251594,7326269.90479113323653858547330283584678,0.2071917248641317998671442333861302685637,2975167.29685195296649029409169372207519,1575136.1969012233178322465534703000252,0.4063355543252286436855303570644297425633,1254466.32582295849537181652004640402134,5751133.70788990991870633891983253582162,0.2242723084903334729860372589572026140849,2528047.26488588089307509335261498424268,34307764.748265575690515801129933862231,0.3624873643129848374097381623651630698992,24374817.18937469566022500053891347784857,29161412.8225975928062730050005242323605,0.2728382864640267542048685330510663171237,15594445.81455974505701179681687906817692
1995,32412454.87216506304861357848446431374688,0.1792833948883354728786826063675987858274,11389589.29444757523290215560780337972896,13120074.05929813348430136034236610141722,0.2728519360427847952587567270292168170287,7016481.71188425984137830146029033355731,21311452.24791201779595721052279403096081,0.2941700511931094446188473905649661093769,12287614.35758485982728343281740443739098,18068257.4606395945820293973228723205403,0.3213709051893359964596508582311361547008,11380960.02042665104370882117440962933278,8191378.18861388431165585018042792954347,0.3377913146599763726164348576926791312583,5423273.75812952217250081897522376256767,568973.4808042821257578091782327752982012,0.4204448881428697982450831125963607012057,468875.1033263107224001507250767672176618,7622404.70780960218589804100219515424529,0.3484423420755856882345987336954817019686,5205698.3553288104359067313717654127856,20644523.16670065558627036138983769550548,0.2373378116640948519623112581930912648201,9603462.8644175487608524963929891702013,43075797.15113109958453126572630423611197,0.306615700364956008785265707052209614412,25887122.79605476423302652508426464954421
1996,24273772.51847830365248647793937081508099,0.1401802159641030451171977324862321897565,6669297.24085144423756032746884642102528,9565729.02747135229390641773889487332145,0.3274200428845993791618107730739249191088,6138742.3604583694703658554239955743114,14990851.07421008914568561908924144112076,0.3782304080912570836553997568979136864744,11113191.61009013362583439022189579273844,11673782.99008220299296496674251887244895,0.4258638875872532146716158185777069074235,9744027.5097324577686469232630971028,5425122.0467387368517792013503465677995,0.4772425991628608677409067933050862115525,5074634.71886821529317466247090699109388,153649.6749336485431876485959729310136253,0.4150565302668578815156155977266619682943,124995.6698709979117938189198414558241017,5271472.37180508830859155275437363678584,0.4901862013629402243046433205656749389813,5064645.91434865722637348846454745288897,15039370.75939141324567296718179848572082,0.2236921363661849021327645490585178645918,6593810.39055193968535279323261995786491,26189613.28481771328622904899249837116686,0.4345745224943025489325700687047624708617,22307423.82761779641304987668337051063015
1997,24562649.82964446999448141710743451436669,0.1483577491840282534723793937147086782134,7142356.50773415683146553246535157305782,5721098.13946865360039130937260295488933,0.1572607835894051092512551143005310079917,1763420.57775326716044460190291045031866,7264257.09201022618448610346912175505193,0.1606884052402797552937615128949851532531,2287872.49924621019523765308047106957657,5289888.06688247751587051226617402982321,0.1809804056542978103983048799538600064454,1876437.53289203129337237342849600615727,1543158.95254157258409479409651880016262,0.2298652808999490337692213861107101193998,695248.5855545098158717553827401946135817,220313.4786678652195260893101134343030889,0.3609991981597052263196848451364898657341,155884.6587200343465221636841110414844363,1322845.47387370736456870478640536585952,0.2575607754994135602977562321148604787251,667797.6879889305259942250770885215629125,22635128.30284236061403608334515104764858,0.2045755695082093059238082477512742829023,9075964.75635291164503883052975051532403,8957242.17544087654886468350233798324012,0.3072692236227128260949877898882581277004,5394478.30413474132104137190255581467019
1998,49061478.67197507294984103681304244403355,0.1842608341318819641643885881411937342391,17718613.60832966054039504715448818674297,5866283.9102336857179513603688355757692,0.1711866490256437157571815605649445837807,1968289.79025887137295561699460766356088,7406814.07708118061847225639321966395925,0.1716723614445122248322927172210204142291,2492228.71625024407273562289859996676874,4699442.13018826373234358995942306385239,0.1820524681273338209148159509286280263627,1676868.27569980333383743205342549908291,1540530.16684749490052089602438408819004,0.2015884117691125745241678864586299123538,608683.9380496972982023530951780148405992,618857.2866365803524789785126360082988775,0.338523598498602552189560302767078932137,410615.6794334207909149786303560726046222,921672.8802109145480419175117480798911655,0.2047154848335360041442072702043289564952,369814.1926393858900288962020712750634112,44705283.75731763521061796908258983569924,0.2138065081384617963324157289714730460164,18734230.00636270677454573419302555595917,6558939.41406423952470908401739393424986,0.2429630864766526566166654515069542823689,3123417.12154665405359721564213139568494
1999,83415301.69883243222188066043016649052454,0.1900818065834449524035750131672153928701,31077233.23748966013352510173221225439391,4059580.0132710292844248026400503357324,0.2301084302870336619782711100838961846868,1830921.42557768718763495364051647227835,4951387.26147845093241533335879198066142,0.2229798370700300556713233036641469112326,2163956.66867677109524840856559037539042,3161693.78772900665948958825954001708482,0.189202344681772497586747801674005169036,1172471.76049607983938183731671665863634,891807.2482074216479905307187416449290191,0.2384884349579346353685169375023172533484,416864.0012218954803895741949224390296396,387059.2680190524810903400612372605716322,0.3272323012576602125140016102631536350875,248250.2581940808558212977154558831395234,504747.9801883691669001906575043843573877,0.3045028679626445400411094949308890251538,301246.5268287925772572176355164772953385,79735386.69240776331424156084676259644123,0.1997470613112360806582442712554110960768,31216741.98167404231985506586078447882791,10058924.74296545899955495346505899804414,0.2042705741324028023972138607731056105812,4027294.97150436573028435968469552359287
2000,71499895.44586877347929413039441631393787,0.178336865932774059156788926871633445682,24992091.84594103345732210104591319096872,5085022.99839854227325582917736760739496,0.1575454636111861713572614308727336223965,1570199.7192822349836951782471336014116,5976505.80142229359773106345343056000759,0.1549361124275978474498298734086389545813,1814914.08655577630198449079788774305775,3757759.97934078415014588205998522903276,0.1632196841112555470854637999003329229546,1202147.17771608508084822144099812350886,891482.8030237513244752342760629526126392,0.2357812462183850405442566861630724856169,411982.0555072303594050703051316566211282,346988.6959134523290155894681164586447981,0.3342610113701111410001684412878144528371,227330.1931628519912652580368213504062552,544494.1071102989954596448079464939678405,0.2930565916248606116209447128805522451955,312752.4708915493705704164104884925119248,56982455.47949198253832846922745398879466,0.1807595081312744359702977718589302101147,20188236.42418702053141768748613689943008,7290219.97600420769561333835950931216612,0.2497390391654158657809209439425467825316,3568478.96293915140028904151011828182709
2001,145228927.130988640137356648344521755378,0.1587235862881306335993703413245348160738,45180462.04813589849898371153055314550579,7349349.48402710053653059820770533341668,0.1791155862758671962023121194724128147624,2580110.761492402129560073658015637353,9768682.39058136468307140985218880444842,0.1956396749525883356481172689746585588552,3745838.02131248704370074801787799816165,7005919.99778931465049326323575455416247,0.2227506389192839463783018912652074283911,3058723.38522091809465475140307857901364,2419332.90655426414654081164448347103171,0.3036278281098740137546895042979618545787,1439770.51994796720784857795762680608837,634542.8641802513549890884148399216667028,0.2659031209308688685882936938993869239976,330704.7787818849004231012527744089817662,1784790.04237401279155172322964354936501,0.358615129356404400220624390647968410683,1254503.31536315901260156734628834418036,127232396.828603020829965721009839662289,0.1720216021221217530109301340995541452413,42897972.6588159546351747078128981306744,21038007.71130688414925798133120737848549,0.2779077560640930837824021206429233535872,11459386.00961243027257062259030741653744
2002,128840509.18374839088904836693851837247,0.2020343256361991956190589039258061362632,51019202.55962374544075323956015692629409,7410109.33549558598654323946588097628071,0.1713813148533622375674197929905905814877,2489110.39100383938743375208098190633699,9096223.44428665060950616626144352245451,0.1778719199723192823106163029432027644467,3171206.94792367957891911251596761634226,5454044.42780666394117946575393181246344,0.2098289653511115314940228131267484448432,2243056.33856070811725772870395022496236,1686114.10879106462296292679556254617378,0.2473161910340614190884101866546694003636,817326.5053085944270858535403790040694633,545903.1661432659578986400913319650681092,0.4075734605759298356342023672068364632863,436091.4594261606585036880060508106371416,1140210.94264779866506428670423058110568,0.2430313826126269832759021966807502354345,543129.802049012828284811802274238766238,111579841.445674385047827124943817611908,0.2376061888172332671914502425191401272415,51963639.31448620187170930374327604717784,19104087.72194758706457310360845256105469,0.290855934272145484072295703546818672169,10890813.07425681431370104044310337667683
2003,171527025.706607076313704734109511704128,0.192815810613259610943892777421448495748,64823320.10725369113181725657124125747749,12758085.96155478570464872130068380530448,0.2055769920857858756169071635072073781179,5140627.1160267151649971043195081203566,16392120.39805531106430011036725652683942,0.224496283369486180880086535342205294264,7212741.40758077706050641229023782926,11592818.74674873829208080644177703992654,0.2525956039062716664181925223860512375292,5739458.30252945220485567004597171092375,3634034.43650052535965138906657272153497,0.3092698286094512023764878271319875813956,2202838.52638122767111598840596901651043,614664.4154485998303924803231645933642604,0.3180201582976626558337434548352057831848,383132.3224137718425266663196952066352525,3019370.02105192552925890874340812817072,0.3501171094265622534485189086501587101478,2071980.88395744042730998132939242146657,123776001.675373844736202943492068968914,0.2374687085438086093313155229004432322333,57610137.44247194262570171540705797798998,48527674.43843343943636125801123962778969,0.2759236671707720634587884743788498108059,26244270.42503090722908515645303185015871
