"SURVEY_YEAR","NUM_MALE_LE104","CV_NUM_MALE_LE104","CI_NUM_MALE_LE104","NUM_MALE_GE105","CV_NUM_MALE_GE105","CI_NUM_MALE_GE105","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_LE89","CV_NUM_MALE_LE89","CI_NUM_MALE_LE89","NUM_MALE_GE90","CV_NUM_MALE_GE90","CI_NUM_MALE_GE90","NUM_MALE_90TO104","CV_NUM_MALE_90TO104","CI_NUM_MALE_90TO104","NUM_MALE_105TO119","CV_NUM_MALE_105TO119","CI_NUM_MALE_105TO119","NUM_MALE_RECRUIT_STMATT","CV_NUM_MALE_RECRUIT_STMATT","CI_NUM_MALE_RECRUIT_STMATT","NUM_MALE_PR_STMATT","CV_NUM_MALE_PR_STMATT","CI_NUM_MALE_PR_STMATT","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE"
1987,975642.870528248120668701925949873943533,0.4128722163262758053756022894978663226024,789519.0352239380088170263457390215379519,1346176.53025535043871281480790759239682,0.2886443077298263617338116348385808908252,761589.7376090827483141458197562643051546,714730.1491413036570627623892412919908657,0.269651986407533079170559453248501712902,377747.672744157612254785928647074701749,650789.5936881708118149095948854292051487,0.4658741235788404519323023437908748278379,594244.6219236642597054677406383033326436,1671029.80709542774756660713897203713522,0.3018234415108925082449018355179173350438,988537.6957998566621673641637540588243744,324853.2768400773088537923310644447383875,0.4092908487196110092496557890908357801302,260600.567838955113201293975006485433674,631446.3811140467816500524186663004059579,0.3318921916365362459358125181246846997865,410761.3617246450117175513842013280541258,476759.712328504577216362987590689471695,0.3290613260765002747121844600196692576235,307491.0389909902849718081228882561210387,237970.4368127990798463994016506025191708,0.3013686626080953356243939094431414335878,140564.9912737735309885863372941980354248,572470.7493770385942356098141169221136676,0.5600359131017758874369066166407609080193,628384.1905487983094606508623984952776596,57134.8715243731060062985617385682358224,0.7233633126924471190817841586715116403694,81005.3690748106759063823570906873489934
1988,1453022.05066600499528837539370865490759,0.4091035937767164407337997301909677087368,1165095.62381798253197771937830761640493,1772463.38703388497285601323305276224473,0.2631234025578090322489985804951919013071,914098.1307187693963073026884624295800122,956848.325647496374941274717571244472361,0.2341158516893093567611653650547887166154,439066.1869650483576693762228974173510806,1042980.21683466462955335343179370513449,0.4394851672958792465468244864222063506343,898413.6967604749937839244194300188080475,2182505.22086522533859103519496771201782,0.2848109974423761498715199421320258296819,1218338.9182005238444694649338211333504,410041.8338313403657350219619149497731027,0.4751999401354801702709323811303418909389,381909.6355838030807897702594953213309288,815615.0613863885979147385154815177723606,0.3333616398872562778799418669202480296175,532913.7577858029297269422525083544417678,504595.7394726952804866626415132189390712,0.3233781978894175944745712540210455489329,319823.5113509821882634923571420514996592,452252.5861748010944546120760580255332902,0.2197426328145072807186874535323927146674,194783.1810071124323209296046321161217411,1588875.88112631566107274699748336630292,0.4070393397623926128321924658217242333375,1267600.57965136885986603189770355978859,201640.3928793648826387668824734673744817,0.5806964717383118944246577319094301057503,229500.054821749464396756206792670586165
1989,6181213.22249607954046657760372588506396,0.4644427381350356325795859456765415682214,5626806.40434303017075231073288279885104,2939530.54037495810213074878844829535185,0.2546958860554536618298362777716270053454,1467425.21771301825877661680916469120326,1785695.08466615703045972354971078314088,0.2630789320430980513670369947512359137048,920766.3614240210073407883810651332699899,4012206.04069519827180245992472904718035,0.4863612396575989306052257483642787420141,3824707.74727987797092484513435186248904,5108537.72217583937079486646744513323552,0.3137767842604302761422803376032112147016,3141763.45592537896987868847246404947813,2169007.1818008812686641176789968378836,0.4496491634994766483793504086584801287614,1911572.83924540212388393263831174418985,1153835.455708801071671025238737512211,0.2991721090093854442548998087102999370304,676582.9579990464350514387833649881932631,883529.0891665694672413799173251807215247,0.2895348754275770414334619226405334263663,501392.4701462272657318736445939752656594,902165.9954995875632183436323856024193565,0.2690310845169494931234622331276883234713,475712.9645197921388336786334694841207112,3227173.07092222401009680542345760260212,0.447476018039677661066821095598888997044,2830401.80839026393142610359517571317628,957086.1247930748647785627622760449209256,0.4307525345333933644191757782161820864489,808043.8570818667991228306684356885383391
1990,1860713.95259942397576930676961171023504,0.5123619623713950087722177894781864343127,1868583.74224472445636477701574535826779,3369551.83904494407865653949781685101438,0.2723613084990055806135648989189268309782,1798761.67395752275932376025268696273089,2338239.89246816543413084977880570984434,0.2632662709742014945435004626223645154332,1206536.20638109513864334897609512690551,808209.0591171514539454199839366238746115,0.4993189424529754758854334391585209161843,790966.0216514091863643458820160248103555,4422056.73252721660048042628349193737481,0.3023967065710888331717538417534981742718,2620942.16868601152686684823686874342836,1052504.89348227252182388678567508636042,0.5439248061521902279815438720325005058958,1122067.69951669034290337414063180721547,1031311.94657677864452568971901114117004,0.392764600481506874801687224429434307292,793923.1363513059068571078601862360632329,1075253.06886315248685973212958045094492,0.3003836677001846189204332112210376392883,633057.3826407461338782140739131185582417,1262986.82360501294727111764922525889941,0.2665711405976912577128080945641196176732,659884.6427313570525222525674755580603976,835081.1929181806276720810156959793457958,0.5272445723513610163916296643083328495962,862972.3718200686834270914887088392213201,23558.3047511841290639204674791320225513,1,46174.2773123208929652841162590987642005
1991,3327187.54048719621874621312807772275934,0.5616242343686763835206202897418664964403,3662513.14385315722445014156751799578218,3898336.90833082125261145704501340644926,0.2474660541391682170836257886730965416103,1890823.86272303681181010606458986517259,2233178.88394655590096754895828839530595,0.2299790547096408759931440108330111892499,1006625.36270601707494708601284488528213,2179704.21124645880879808275264792170815,0.6648207068296180813831432610496204355118,2840260.48902471718552492607769865056889,5045820.23757155866255958742044320750047,0.2585063587263954526463015953160897478976,2556578.16814905536858121096426130588474,1147483.32924073740994813037542980105118,0.3900129180025829994230349337559498474264,877165.3103291373941858870286117106049197,1665158.02438426535164390808672501114333,0.2929780389649663838249203255878302563905,956195.2757997242866429647958778849730865,1303773.09314023713484518861866862217831,0.2261120369920610146826467925539371775354,577805.6281361430551674059692402827634765,929405.7908063187661223603396197731276387,0.320229587210354126365412103108462267026,583341.5361720075893142731265325590313778,1422159.494529427874520949556971822754,0.7530054478664260659460806880506118909958,2098951.94034661901670977651486779673076,422949.7673535220667266635497701871076768,0.9479378484345667201625362168043547521612,785822.9812235565824375987925299599724176
1992,2248277.20291263026103246861063773282556,0.4608505451346421818689824348236775228485,2030794.75816910541480443962486495966958,3672356.02117081581847671675170940243951,0.2076155157736207975399453118127401792642,1494378.65530189201322107469946846297167,2290595.10774823093716471248245797487907,0.1991953632846700873835709955923959921002,894300.8122669538918940714607937292433936,1174303.17304315191623414599038272666248,0.6735666271889704571086108667034863672337,1550303.998025404267358534607763632333,4746330.05104029416327503937196440860258,0.2061606732484681808819791224702183739404,1917872.933612530641393765743147202342,1073974.02986947834479832262025500616308,0.3186762455198601001012578742251391212782,670810.0227842933135783564004100642063782,1381760.91342258488131200426925142756044,0.292318463191515248545984654873863020972,791671.8843511969588445346528628861823474,1183643.87778401081552937273523218067207,0.2059761526184495281043904314951399476247,477852.727552012351833856845495604097623,1106951.229964220121635339747225794207,0.2457935736122718900105190293051374419445,533279.7373097146772468167365045276128029,835131.4726164607684824819064969215513636,0.6381457764374580485943779666042159205777,1044553.81915957061994241753580994775515,459611.6366805212466535149221838518468416,0.5962492673207877448243760776018502491742,537124.4791808230183649039711791506967224
1993,4183747.45589952857640942201162254346719,0.4626300774189721769285774216852530766468,3793633.72247148450621580390917753091456,5104421.86228649071026084088623741755091,0.1668104263930045155346543585394120431651,1668882.74318205603337226566063037103961,3276481.40429257123773205937344655416224,0.1649700400662882398061354931459852889529,1059421.68634348391432560989437303957194,2662656.02752633913812608667917422853132,0.5710546051627731381573684193490870628742,2980223.09350732993806334577898712767889,6625513.29065968014854417621868573248678,0.1846322604148053066214208548142074105006,2397635.65071515014916809994073013537438,1521091.42837318943828333533244831493586,0.3197629921433344626976530002399948051277,953321.9430619715571375843716287211610303,1827940.45799391947252878151279086338867,0.2088879378050720789408793277111239413416,748396.0368935852908416274595683384965224,1458898.63319806059794280419431738099696,0.1818357715135873107503117255329347322513,519948.7187142672456177704820795900773763,1817582.77109451063978925517912917316529,0.1977843182900092468502725999325075529303,704599.16386052367349651942805121019489,1660075.55037814475929708240224982395638,0.6610033614611059017401362260243571836817,2150738.41739552431528939870227087382525,2326742.79431634203804181151943818006461,0.9464606475256328135083532176996084743806,4316254.16379912092379887049433872133077
1994,1386541.31384798826977042208059871810157,0.2360706739111290869552376970010914331582,641550.6150368051864315709524384245081227,3555027.50277626471567644407786711064286,0.188436119101241502701308231543756755427,1312995.34840582125473394145145667904575,2256569.40711050179709460804748040041772,0.177938327193383352484840709212649617589,786999.1635741347998958417526754201847987,503910.5116852401234832133500417114475932,0.4495213214320023308928520880192202773838,443976.2974286021605548289698887306515063,4437658.30493901286196365280842411729681,0.1868763901291877520881008886105173263898,1625415.38672147346972469795533348867451,882630.8021627481462872087305570066539765,0.239477971666097265074997585502191412433,414286.4430946323904469222790811485491168,1298458.09566576291858183603038671022512,0.2781632159400228325116171887820185144254,707919.2281213430142579201266482432907911,1182628.30446013150990842084062396306899,0.2086508729645644406540619132967945909806,483642.5991116899100298213832187632567611,1073941.10265037028718618720685643734873,0.1992552549518914477091042970576488558237,419417.2800953533132180784938257887025857,235002.2032166495444533661595247567218476,0.5144139743165674141527499502308399448524,236941.2979664595772432775114841939890725,209634.7120163188253017030440847085399278,0.5221778517101172418855627323646020412834,214554.5429865189106696849522722487742176
1995,1715231.02699531650135796146740263390768,0.3142824284957909274232432222594950369486,1056571.26628701848873697564044443302159,2928512.98582347447451814777201525362825,0.1719709038827165859954907185923860325896,987093.289400498734184993533378078672709,1740559.18364855443218810373577121210889,0.1772617333519361681356455507162398557105,604727.6942745405521581047750285667995907,690299.372048890340475550826431296138026,0.4729065633050361249174089550377584764141,639836.3232270398789473773287717098236301,3953444.6407699006354005584129865913979,0.1872067972956541120354283899548321572699,1450618.95058903371835091693920080650265,1024931.65494642616088241064097133776965,0.3019927446372761713962589321196513966628,606662.9701440779834376951097424950651369,1187953.80217492004233004403624404151936,0.2529428109152263367287838188812133172742,588949.372960727787455730884139413055232,909647.060772411848716780591978703943886,0.1870526200196260682457510730558980175653,333497.6573808380444189360058393592793556,830912.122876142583471323143792508165006,0.264481989065550024484738335197803510526,430732.130354043366201650603127409924284,612217.8781919261742192984409102183580351,0.4388888016324506991042340192324877839767,526643.3189593276570384302178902094663687,39123.7172759546936781642376102422746966,0.6933917304833435285458101681190241043179,53171.0015688340036978575165959767035338
1996,2403473.79390997797732158894458428351929,0.3731755411129574325226411519590728824373,1757958.56184261078112596100447553976847,4955556.00510552089267348058536145602071,0.2564813845594624296953679927538890756499,2491175.41628478803669516718909916706058,3064331.45318143449245266788551918669465,0.2354787563376110000541839949954390851041,1414306.52081872134824926842131166333709,1165954.08521308213014377252080753689878,0.4987552812340632816651383803396789861955,1139790.48504585329381749709728450969794,6193075.71380241673985129700913820264125,0.2626526107508420490027621723382507232728,3188189.90942336530163615797253059401064,1237519.70869689584717781642377674662052,0.3715940290336769362144322415502251200167,901315.6717439930102825199799811614371364,1891224.55192408640022081269984226932605,0.3523740405239729625531286380246640224401,1306180.13632327603378029328903788297324,1466145.22613304276489139998130670444717,0.2944981404171037846002300176497768388222,846283.0036480866104134685203949193746584,1598186.22704839172756126790421248224749,0.2213171763202768471471216577854504008274,693263.883488441560139722651048881779591,1127094.328297110424722661575087058655,0.6161472820313344557424692523348783881231,1361133.96966746644142892100155090671505,684021.9297759104341465028154888412131306,0.9067895987315378105066865923166171701876,1215717.38360113711672065999070203095633
1997,2315034.00961397304590140074066233123754,0.4442457534930066527023567278930058243674,2015750.29480727589161734055458288961533,6016668.90943852459731657309714854276282,0.356819442046016064130644378858898614989,4207854.30875327395291440920319995523036,3788647.99150984771559028429212436496753,0.290943219619879412151547644525534882469,2160471.63152627872262380374573932115174,1149857.24771846580683278403841519214172,0.6640397203519332572238914982084305783247,1496559.73503044281227251451401603564378,7181845.6713340318363851897993956818586,0.3667182574259645602657882325466314819708,5162079.30219989259609215340951516675497,1165176.76189550723906861670224713909581,0.4438107820900558784067586571964644434235,1013551.29954120761822471877547407507364,2228020.91792867688172628880502417779525,0.4894355761363985082508273282116807434477,2137326.49515632407512209307163922150927,2055636.29394805197778719349031184196197,0.3729832095327212790197951234025659492966,1502766.93219543808730334858357457152241,1733011.69756179573780309080181252300556,0.2678158534396115464971523174958121107661,909690.8933345509044608188774659647355084,765370.5599699910104523083180792949815889,0.7826463168018193385514032309366516873282,1174068.32150815652400992490506441005523,635161.6546867856553288052097668893757566,0.8969666294020898952336625659970519892228,1116648.86471852611605875605140799751452
1998,2086869.64328151175356202142911328176708,0.5011076366721006609946650983782985130682,2049662.77737559428382605293817162434706,4510000.7724250025698666563945855004168,0.3847475921842908850460586695888103550556,3401015.39836203107558689473755480942889,2849293.0337869835761227021458572762397,0.3522038555083418960040918880391133714211,1966922.70426675833930131073903613696779,1427134.79946628700665056654115859642945,0.6840801426585813147157365905391014809617,1913498.17133536996637346735421368649875,5169735.61624022731677811128254018575445,0.3730020314542815728795270283005128741166,3779510.89840074772034660107563235276642,659734.8438152247469114548879546853376275,0.3493403502397139712818050668475628722359,451725.1227513570713245304911130652643315,1660707.7386380189937439542487282241771,0.4494758201156291672435776683162678713331,1463038.02668152322555494303597730465554,1248845.16660169018030465227416579749811,0.3971586809801835709362851464424524814981,972139.8102673695505408477545054226351014,1600447.86718529339581804987169147874159,0.3296362352411407985257948982056035872399,1034028.59489179994055719563531721157718,622720.9225090666437124993189996895199573,0.6811997045172719649194570798421297791659,831426.7244834024519840617427884678446915,387395.3811289642078588211038896069857181,0.5561167248172728042627002322791758603779,422256.6191030462643115219836650152963287
1999,504000.2750311446389701497272910623750718,0.5089817596865100735719984223872028280105,502792.8158609606062760351924363863684862,779936.6488266419704087386551864435295994,0.1760131562480508422415016156372832034936,269067.0580176695897511204879444076044644,557882.9198576524434081602759464325993769,0.1944709421968055324377325365968218839744,212644.3534380363384510300056241282368824,280890.0461583534904065781183568082685346,0.6652888440944729061503448502272993784146,366271.1076876149017486735530348805240933,1003046.87769943311897231026412069763613,0.192388074124302579573785205782263772843,378229.5438316980538454377788537849967168,223110.2288727911485635716089342541065375,0.4102806297112037318434559440788425641899,179414.0981860014999779396385728509438031,222053.728968989527000578379240010930223,0.2922251318763250185854652396394527782552,127183.7732539216873569435780755360489116,164397.45254370465598394501718032508262,0.3282022189819754865837953854663271868512,105752.9930908626418317730933324701179107,393485.4673139477874242152587661075167571,0.2213344780024671027055391188989684595129,170700.1249985993508311966594029810155896,275747.3866325310431393199021612945187979,0.7063886485418705802805121174507666129782,381778.2546133202946617716481799708611349,24287.1186394962225297884192662090438049,1,47602.7525334125961583853017617697258578
2000,517919.5269251552988197406601816332875819,0.3543284588515377991256609185188538838659,359686.7104576353125458211787911703580012,1025171.20003551288308988729590606936687,0.2940261431298695176514851893966080920966,590797.1826287531383890501254938847556902,740249.3656188985557614662925523764885761,0.3180439353535758020539578116567864228198,461446.3699134680416093051930201890190555,236402.3086670955104532915483487709939177,0.3958698962810650443265985532443396804898,183425.7325287889504708921873453356616876,1306688.41829357267145633640773893166054,0.3026819291543301641320339405432631434887,775201.5036553290490230135878721912678871,281517.2182580597883664491118328622936643,0.4196494761959710136631949059465035901233,231551.5642369976096770392010545983870013,284921.8344166143273284210033536928782975,0.3551170645823750643186778892241153914827,198313.9867279690645953355699559524056097,291642.6398508819677626712575990747807276,0.3323750252594777142415476866440086928939,189992.0703828682055072478318588563097692,448606.725768016587998795034953301707848,0.3946702773106935116794781016795043612462,347021.4120901184732952349273859469187603,145397.8143323380048222699387818721023349,0.5269321571871698759028492466761225026461,150164.9765546194023744404680569699693836,65281.5428741821783469638570879783444156,0.7099626893736874624715708609201763839117,90841.0211010194017512216545072941160744
