"SURVEY_YEAR","NUM_MALE_LE119","CV_NUM_MALE_LE119","CI_NUM_MALE_LE119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE135","CV_NUM_MALE_GE135","CI_NUM_MALE_GE135","NUM_MALE_LE104","CV_NUM_MALE_LE104","CI_NUM_MALE_LE104","NUM_MALE_GE105","CV_NUM_MALE_GE105","CI_NUM_MALE_GE105","NUM_MALE_105TO119","CV_NUM_MALE_105TO119","CI_NUM_MALE_105TO119","NUM_MALE_120TO134","CV_NUM_MALE_120TO134","CI_NUM_MALE_120TO134","NUM_MALE_RECRUIT_PRIB","CV_NUM_MALE_RECRUIT_PRIB","CI_NUM_MALE_RECRUIT_PRIB","NUM_MALE_PR_PRIB","CV_NUM_MALE_PR_PRIB","CI_NUM_MALE_PR_PRIB","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE"
1991,1920443.14414635449375012104270528615283,0.3733428887272022114598180000882573528387,1405288.23050102353423806539693713172634,2014085.69827871138792185002499815037143,0.3625684598956854673241173671542739708482,1431278.14145676371542360386136609466044,1237558.36844707849750642230132758878335,0.4436715451690826619601916225281113633723,1076176.08978905469274646948821198726266,1397441.26310703222502055291282928731924,0.4179873190399789544674760250294371258584,1144860.94508062249080688076015347374435,2537087.57931803365665141815487414920503,0.3585812471651589247448522464480248199665,1783113.97558382536655649480975544932036,523001.881039322268729568129875998833597,0.388518210977020832952732174220420202047,398263.6801116677553813169348595788261763,776527.3298316328904154277236705615880922,0.2991052901656310621378552684322096966314,455236.3273292331764294482701862919082481,607032.5760500486388684967084787225110586,0.3939265242162923534101467759531349035144,468687.4162281373170293387577621757411994,630525.7923970298586379255928488662722827,0.5185032966343173249651646237784749284732,640782.2158628173062872462821443769979561,805450.5907837870049562488778024001987847,0.4630658965108297564527019133891318843415,731034.3318362847296620576863497403765121,2767448.0189246907393677690881128886921,0.4163778812110038943197204555447021386045,2258516.11926364775839920909922334285894
1992,2435795.77353923581067207088737449301759,0.5877912721617066371976248178968288612985,2806209.41305128197690412546373716318092,1935277.99649538997281406026358012986857,0.4199078595812091579507088318661640172853,1592771.34475786040313215976072381297295,1154465.28082511552686422822469787734382,0.4530413703804150227866578005668286737265,1025120.24444797716942825342256372378637,1663752.00545990023242608065990993645696,0.7338667137710254405685129304654363805086,2393105.54488254791337446345976569721856,2707321.76457472555106005049104468642921,0.4103708601442983767789722968166074638148,2177571.68398318319761004531647935182865,772043.7680793355782459902274645565606371,0.4015845886694459081023217274262679944328,607680.1229163401790037229718305682946369,780812.7156702744459498320388822525247404,0.3982241113760151106925334457881208445427,609439.3617038208525514791964388447132747,416935.756658104413512202367644277483485,0.4349722951805168497737113932510364723594,355456.785912146227432143941214836054786,737529.5241670111133520258570535998603427,0.4749038354269095859681337907276499368176,686500.975544294476759024038316340688535,1797343.33518319742947035929424142359945,0.9269666614614677588274947709467866991565,3265511.60779298515665167573184648514549,2149519.20239562231414205477380252832798,0.4936767550930373725399094001551425311465,2079888.62310373555136977284923110223479
1993,1483523.9125742795367561623477612193326,0.5199712405410162012673693915173811785725,1511923.94761927998122777932761404029991,1875500.34458482057188804808908825065815,0.3098604597424339403492351806235220941023,1139041.06207948572447688636973964901385,1114300.52162825821700427745942117241023,0.3002330818252884593269638933996037366241,655717.7641884377852780933573681987969968,1014485.10063024003986131829954350429759,0.5531676817968690784919026352340835021893,1099913.52781286292406857829853008830525,2344539.15652886006878289213730596569317,0.3121600892617418075563445424274157433108,1434468.24266420770143835775600665704712,469038.8119440394968948440482177150350143,0.5247024778277164692498326930494732835663,482367.4205758354831892296119300649085261,761199.8229565623548837706296670782479212,0.3764668836410587980086403804182010780789,561670.3893461021266668270961636808796515,402242.2605407969783879143787970173176439,0.3394949436534217122401610192090232392638,267656.0586115527781017835755776361363908,712058.261087461238616363080624155092588,0.3061584221674017044986308888801278928747,427285.1620633697706822737310762473660332,880672.3330231465290214535981491517563583,0.6059250779345366140442725494686767656001,1045898.04596280687738843557853905305381,1782656.74111459284892872008744173313441,0.4453402899611742563734606133003570357699,1556022.18517886086877964183193636009896
1994,638519.9499407551963037591352903791914611,0.3736961338245423901873187536576625590125,467680.3758588931008630238591344246372813,1294263.20861899850050944998941457661545,0.340669362663389512880985239358013723133,864195.0119018592091159768135805333620748,935268.6287988639188189358165760282981802,0.3445162237716325480238871625110908776644,631541.8237634803846935315807420221672811,243778.7681511838485243197501114739706702,0.406916800369126984557752045852105550512,194427.4456146536601024995123342056857829,1689004.39040856984828888937459348183624,0.3438832727207657093175911859988933457084,1138407.90053034409297643144920214315592,394741.1817895713477794393851789052207906,0.4068252502093039548164662361874228781795,314757.7328969390548041529855588332989873,358994.5798201345816905141728385483172758,0.3909759920302232878644078186935835099931,275102.1934781545805081349515147482393044,210688.4327443768029472071755432232732513,0.3449879837417293241716044030176032806203,142462.5561159674934751729213958635075725,724580.1960544871158717286410328050249293,0.3895947757331543991998894423596968269946,553293.6116057645897594648794657015559378,144763.0750497912525992844300609125351021,0.5736740518117183248514232228719727336107,162771.766840413726110996261642913521662,5047215.17816154225421800559356864717325,0.4430752919158947482771524126898703333852,4383140.82331546970662268193140079431098
1995,1146802.61048591694659323881359194941925,0.8886201101038638554360707951196628561417,1997380.84951489226172026113121556863421,3101711.74134202617542115514346777608247,0.5997880656495156097096293233918504871929,3646324.58366217216848271533644397334331,2186408.91390337158943479985189484022219,0.6150249259033716075872653055780425561506,2635604.12132506891669315684719064789835,728577.8513638990303429201886275960232213,0.925342017135769794895720042118341504839,1321400.04929817017452752176849814914743,3519936.50046404409167147376843212947846,0.6255334819295124652367929776141705123166,4315602.74519987068124712547019718062651,418224.7591220179162503186249643533960332,0.8273417225402871266728021077136815438723,678188.9935371736501355064644286916157683,915302.827438654585986355291572935860276,0.5700801149647476188592099374991752406624,1022720.04454382204507684638774476350989,409168.8219358943458445313361780635552911,0.5488647414641765243851622939091738604242,440173.5457474108075610639005346943498631,1777240.0919674772435902685157167766669,0.6360269434578282052282606848366720390697,2215530.26363017673452680923208997309423,658479.2810549051846054439515397222627981,0.9196646854889731977668328038259605180497,1186937.07618823454549028281015877861301,4038555.59310546898970056514343311632316,0.5214060938732455637372594568610122487891,4127225.89351449931373862974536317657004
1996,719430.0844098715278163277233409801287571,0.6254494077589808699925422312188767867434,881935.5556275696162309123874545446792494,1712015.24605214363731975305712047781293,0.281106033550261856121380608991473909696,943265.3177827756442264463877610140812838,1269274.6642415139803145352209788354144,0.2626495664431833010644976040385923664722,653413.9029102873754665171932104041368476,292502.51731108056347655869758391894413,0.751265240599077630142142900576907477496,430704.0691253478257593353394251227987662,2138942.81315093460165952208287753899755,0.3059035526391013236116765156389549006738,1282448.00265209900397232425538257175757,426927.5670987909643397690257570611846272,0.5663961523128113689668491342843480503047,473947.8573892086134258161346962657437867,442740.5818106296570052178361416423985348,0.4871635909560435893166941408255706463822,422746.6997257953041215517706266633894319,177574.2090381993124093420172912123607692,0.3749745522781322629608098154221569401544,130508.1866792748191349157984220414807786,1091700.45520331466790519320368762305362,0.2685039235201711730118320820199474809488,574526.6768404598403014257697298847845868,275735.138069384151021244782380398573425,0.4176341458510666439214775600347860011942,225706.5613827170311462391303422217419376,5045822.05797884105635282064936355569859,0.4840731234785160770108922539385585604153,4787391.81448031880371484602302323234433
1997,467233.6969701417856762287845077426014193,0.5251715932138752694833834596304145386011,480940.6154803960010264862564079545230733,1201295.80451233128112761905041888053879,0.2944019448512968640873162498440559250415,693181.0895326619586228145932187751467599,932852.2802417108305054597168294624890711,0.2843222414654953015979121531045680310406,519852.0764980623331397694924408845299486,336907.9375741443960137520760913554278588,0.5071053705088995169090132059944316837352,334861.7360414143387746176933450878958195,1331621.56390832867079009575883526771234,0.3149245699747856959174148017151818006794,821946.282830644749462583209595104156418,130325.7593959973896624767084163871735603,0.6116569707531460491275559762550098695161,156240.732038387883583907283507158026676,268443.5242706204506221593335894180497156,0.4170359399367112723694266469173331977712,219423.1710296782672366953430618590341235,328116.3867421774023303091166469477273054,0.4857660366098051443578574509769535807722,312400.0815995759613916364555569806385535,604735.8934995334281751506001825147617657,0.2554618681740778900138288484603150197699,302794.443766409589490344435401928303842,320343.5584933833718576953375649467279949,0.6685080786512279826895265274593422288055,419738.4233215496066858360856399448493048,2614373.74074880378359324708554415073281,0.4226653256924959261641500057393819371146,2165810.05208638403660578161370357872617
1998,949447.2290016815883301815142283364624082,0.4579486370905838604907871174900377280186,852204.2064410730368613467492361220615712,967097.5120856414242637758956053976715055,0.2461234204633431787015478798105250186204,466529.6812883705737712787919849859106903,797187.262847346336006883033298247050839,0.2533972792956043729526880632443250055477,395929.9636494696939542619049952441107786,692428.7211107516229523855724832910584886,0.5477881378581926630449322884448949269957,743436.3098841053626774669297191620060611,1224116.01997657138964157183735044307542,0.2353263449675110647300255140520091049405,564610.8276426360770551301022914757103412,257018.5078909299653777959417450454039197,0.3696833000115066036608971814027862221034,186230.2823158587819561882943809036369613,169910.2492382950882568928623071506206663,0.3946749544221071659292421615897298605701,131436.2669529870462184651721787763276296,120222.1730402788321807372493089635671007,0.4041866006625423014741527750267422603698,95240.6952330119093130485906493903230416,676965.0898070675038261457839892834837383,0.2738654676132818048133280722208308892731,363378.8273206445136603988968206447733544,500241.3445771822852949567023867723860536,0.4310333890249623679485932407746520561332,422616.6152836734475754540008111539234888,1829509.01802154493723320088104537457926,0.4427737675362890598475561707655974133628,1587714.85727599138014080897294216525205
1999,159535.7419768788190935782827609222318863,0.3728866070089239863476289617864679614501,116597.9333839226397672502194241354272712,617258.288915712220943561457334133438838,0.3344094547099740808814137757236325775777,404577.3353105693258458121571071760007658,452740.3034385649284076758363531896007398,0.344688492093429626633046954424221345127,305866.5701042350059646974114350080932781,35389.6930701707033326619519265546226915,0.699278180084256282463194074086331131461,48504.5907211447959551240648016249319646,741404.3378224203367044777881685010480325,0.3287048086759122859853204804771223810868,477658.2151902038267499022867078456592505,124146.0489067081157609163308343676091948,0.4084813403313369326762798195273766259709,99394.2351303336008405037301332884329355,164517.9854771472925358856209809438380982,0.4612025435234795951757443246726963609698,148717.1821805416479540499750851513540953,67418.9044438088948231963984021649407664,0.7755172897432057679444414927156342896642,102477.6710613689373730704155028581365691,385321.3989947560335844794379510246599732,0.3655443214457046016264147039856446325123,276070.0166947334870889892323753923719782,0,0,0,2755975.76162839020331145680877327306167,0.4895383627193865308277320320908462554653,2644345.48960207781265703940532874279867
2000,163834.6169606974601644133038500045085181,0.5625592154532362447155819765479810463633,180646.6802197232137530061240669255565456,725050.7142949011418535187955282376022645,0.2957809097026528877563974850307785122129,420334.0733152200986645765463024497796684,527589.3549162731565132183693138820439379,0.2974472910190269188942563535130973703879,307582.8478050299088892279063348400097412,127433.1533803364121185772269698047257686,0.5373751006153098437975182425149520777055,134219.6310941896027460055962710011332369,761452.1778752621898993548724084373850138,0.3132212219132665141149052543348809991682,467465.8439019108665387564354954890699241,36401.4635803610480458360768801997827493,1,71346.8686175076541698387106851915741886,197461.3593786279853403004262143555583267,0.386695678399740513935477489069210341377,149660.6104724008850514505134771205182241,17648.6900688172326793297809990636460265,1,34591.4325348817760514863707581647462119,509940.6648474559238338885883148183979115,0.3004627793697427365063539912058380225474,300307.6513684933066701523182672344711491,0,0,0,1363069.68761323477595882741393841887373,0.4628337415686773563157909300967282075106,1236514.30133228809063303635075190363606
2001,92917.6967791551713857193783271917294782,0.6451516122479874104317836931474951970958,117494.1636915455082173557594462164530246,522239.0673122326695672264400151969765488,0.709560627724237463226894184768650470363,726298.1496314087055885434472134558671421,445863.4136735673772993069071314779590551,0.7438545734997541206610461865378953645416,650048.7772578999660836206767045246738019,36846.5063359088771908702512945330346652,0.6982644299178207557468658289889753532198,50428.0652925692939343566233831048374835,578310.2577554789637620755670478556713619,0.7034380762098675045572169274500357309579,797338.6921291755935092128146371299742416,56071.1904432462941948491270326586948131,0.7301955176711885016609044599303681384149,80248.1465870062094858598188187022531405,76375.6536386652922679195328837190174938,0.5901625645828380179639065016206745869481,88345.1411812471350998004473425781482753,0,0,0,445863.4136735673772993069071314779590551,0.7438545734997541206610461865378953645416,650048.7772578999660836206767045246738019,18516.3700028093192034623133416146901886,1,36292.0852055062656387861341495647927697,1697465.09163688547346030206504574486918,0.7529573272213768539685086589875122134393,2505112.80576297769192308735793267731362
2002,0,0,0,225475.5895594613379756039946852212884266,0.4729856464989189803545631131114980087146,209027.5662951131860808409968579552527335,207145.9844961970528106589033603021571776,0.4949493922111553901230819472302927645552,200952.4870857333315883217017998278484254,0,0,0,225475.5895594613379756039946852212884266,0.4729856464989189803545631131114980087146,209027.5662951131860808409968579552527335,0,0,0,18329.605063264285164945091324919131249,1,35926.025923997998923292378996841497248,35606.7038766169722701049242274861530734,0.6985326015763519959956685623255883019338,48749.9892452843818785644907308951794829,171539.2806195800805405539791328160041042,0.5872037954837444713733227342166596662767,197427.8926425623643168796478569039349132,18729.4612105412418821082035642841413384,1.00000000000000000000000000000000000001,36709.7439726608340889320789859969170235,1221852.42956270392986069819874520711537,0.794055287826038787168244180191772288069,1901628.0299692209989707815451001750241
2003,45271.0536108314402547191980514051103091,0.7174788774764700396192270429773058932993,63662.8084646778174956988426979640971932,228897.0884633693158172368287041700427995,0.3888915340789130079314050535020109872325,174471.6341622840534363989186530031692641,213572.371407303182611007324589886654995,0.4019991275075247674867013396216540817283,168277.5776522798615890821286297615274536,45271.0536108314402547191980514051103091,0.7174788774764700396192270429773058932993,63662.8084646778174956988426979640971932,228897.0884633693158172368287041700427995,0.3888915340789130079314050535020109872325,174471.6341622840534363989186530031692641,0,0,0,15324.7170560661332062295041142833878045,1,30036.4454298896210842098280639954400968,0,0,0,213572.371407303182611007324589886654995,0.4019991275075247674867013396216540817283,168277.5776522798615890821286297615274536,67328.6314640328260129233599941033778015,0.4825321962928965872813380944689897854724,63676.9355309201706311103414981144030445,1120254.00743617664846572556944953428045,0.7644890667309545504287434010345342254793,1678587.00366712922973743982343978326319
2004,87651.3268103885498410850807884746817419,0.5902430423746908308926322832975037406842,101401.7481772944049299297613448340402055,47904.7624896434299830267132412058098776,0.5634454814229252667820066035634205789689,52903.7750483189473874213407652931648523,15583.875578893854770127060185003799624,1,30544.396134631955349449037962607447263,71023.9438528166834397673433750030233018,0.6982123993312294884494112359950956815066,97196.0045649856615217941410659220962331,64532.1454472152963843444506546774683177,0.4814284347367211857642169605154466742083,60892.5151547963654853666711278920549408,16627.3829575718664013177374134716584402,1,32589.6705968408581465827653304044505428,32320.8869107495752128996530562020102535,0.6993204492881432231032473039677031583281,44301.2080254006543692278648466137719322,0,0,0,15583.875578893854770127060185003799624,1,30544.396134631955349449037962607447263,98059.0314076314688248488649640632414873,0.6335968291148989921561610096889536282996,121774.5870772690343000222712903547167386,70034.5597906168173541535965106657387971,0.6033630392422965279162145235606046826135,82822.279100635278658445390809893122133
2005,1981338.16655193309028432195548753389853,0.9638063717665652007100617246758552740323,3742867.64511219272403430655522239316879,91932.3043818753213225232911948588962799,0.7119752300575486697219460407231436524134,128288.9061815322922410916649135329431486,91932.3043818753213225232911948588962799,0.7119752300575486697219460407231436524134,128288.9061815322922410916649135329431486,1981338.16655193309028432195548753389853,0.9638063717665652007100617246758552740323,3742867.64511219272403430655522239316879,91932.3043818753213225232911948588962799,0.7119752300575486697219460407231436524134,128288.9061815322922410916649135329431486,0,0,0,0,0,0,0,0,0,91932.3043818753213225232911948588962799,0.7119752300575486697219460407231436524134,128288.9061815322922410916649135329431486,2268112.82705917131258302364762294208078,1,4445501.14103597577266272634934096647835,289197.27911814009932382240262892294531,0.5645580689923140713062774301802666836532,320006.5686152661574528093558151933833761
