"SURVEY_YEAR","NUM_MALE_LE119","CV_NUM_MALE_LE119","CI_NUM_MALE_LE119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE135","CV_NUM_MALE_GE135","CI_NUM_MALE_GE135","NUM_MALE_LE104","CV_NUM_MALE_LE104","CI_NUM_MALE_LE104","NUM_MALE_GE105","CV_NUM_MALE_GE105","CI_NUM_MALE_GE105","NUM_MALE_105TO119","CV_NUM_MALE_105TO119","CI_NUM_MALE_105TO119","NUM_MALE_120TO134","CV_NUM_MALE_120TO134","CI_NUM_MALE_120TO134","NUM_MALE_RECRUIT_PRIB","CV_NUM_MALE_RECRUIT_PRIB","CI_NUM_MALE_RECRUIT_PRIB","NUM_MALE_PR_PRIB","CV_NUM_MALE_PR_PRIB","CI_NUM_MALE_PR_PRIB","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE"
1994,388350.3937512077022211146427486399934691,0.9999999999999999999999999999999999999992,761166.7717523670963533846997873343871988,3063712.04699439143559275535301084051933,0.7882905189720239126221134982547568195769,4733586.51263185905629333237436426333015,2444100.53014751628610862271484815952183,0.7449115374123352327585264225466894614379,3568451.8196648803106265869040484186284,38835.039375120770222111464274863999347,1,76116.6771752367096353384699787334387201,3413227.40137047836759175853148461651346,0.80909052095562574231848930466319913338,5412755.47517711976747127582573209862523,349515.3543760869319990031784737759941221,0.9999999999999999999999999999999999999994,685050.0945771303867180462298086009484789,619611.5168468751494841326381626809974926,0.9711902703675433281955115797819392570264,1179450.92607594619618095164893248704002,460257.7031098405662701181035440150033263,0.7709652354590180341039244334698124043562,695491.6693618138961372971459700537816058,1983842.8270376757198385046113041445185,0.7434568293660844016748455165769692414481,2890806.93637415634636671923281542446145,77670.0787502415404442229285497279986938,1,152233.3543504734192706769399574668774398,2423112.86433775370094413371663662385825,0.8903404429362258610712534546269460780822,4228494.946601127486735434067306153163
1995,450214.7049479663824305638050741624682319,0.7432232115865120176026328160615406337849,655835.6370732069353420666918912881876576,5153930.79006303128538616504089026606453,0.5833305225657964879774297549800394276559,5892632.47642941613008996926631574726176,4411347.4959333638057137683035576791703,0.5956695635858237828136709541293459032378,5150302.65794696501037995738227678373549,123200.2037450657228419018797145926474601,0.9999999999999999999999999999999999999992,241472.3993403288167701276842406015890216,5480945.29126593194497482696624983588533,0.5742529614856086507314300051964630282799,6169000.16789012407868340591092997557722,327014.5012029006595886619253595698207716,0.683127201233269838630294996444868082195,437849.3019000853099587980174123296194495,742583.2941296674796723967373325868942275,0.5643029463968376315321437820410947628996,821322.2040119840864570749266213070588194,823706.1947259688834822426509281640875637,0.591277786507239487131753081919589264359,954596.7840777492491450287616152509360464,3587641.30120739492223152565262951508274,0.6143524741822993330103264054153539597752,4319989.56735571907276243070555631605787,273920.2518181887390730853491910174163626,0.6810386260337036666618507362909896156006,365638.5330044881399513853320174315644128,2954258.64877851420800375481036367370729,0.6686105188146942062833269772035328411076,3871486.87943029571953579121317129487683
1996,128182.5576981996975187532997223093981403,0.6207570717046630338277746615803268165918,155957.6491542829741446390959703790353445,555428.1364266185959099083088276832806266,0.37071962856488514945511724131267858914,403579.900363902306019841199191649017885,537312.4353761678676405069944046692661418,0.3684481875607086186235825438667348139013,388024.7142176316774077358478919514366635,109969.5762966151040875247634842381875356,0.6694539915317202519734975050319847891714,144294.3607256892227986524636326530854355,573641.1178282031893411368450657544912312,0.3610846236329309206987170558113295068613,405980.6547774862353666442753952852269618,18212.9814015845934312285362380712106047,0.9999999999999999999999999999999999999945,35697.443547105803125207931026619572785,18115.7010504507282694013144230140144848,1,35506.7740588834274080265762691074683902,18115.7010504507282694013144230140144848,1,35506.7740588834274080265762691074683902,519196.734325717139371105679981655251657,0.368696235627191598654240642195889336445,375194.7277318130854466528631705079631469,41111.5190721580490238967345372861911358,0.7029631300216595716647942674094922351661,56643.7689687423767446427595177888634682,1074257.4886638502061077698301580908545,0.754532335516962584151890520925571134998,1588701.54326151883283826569933932240221
1997,1600699.98463604780187038264563208734066,0.8544159999030253362829533024780458657274,2680620.80871842950888340772290657148019,1554856.50814976918439596372311452549689,0.5692522914148414061550702417185987040669,1734807.0349676488735156803049603924112,1423129.08130707724921249337891389975938,0.5994433115233713624183434780356373101012,1672047.01007889809635585701856393360661,609780.1497678696380702067779004590874349,0.9045619107047282431371969747876760269384,1081104.43887232543977569945059968801467,2545776.34301794734819613959084615375011,0.5191144973843064942930279734702962363977,2590236.83724689437929052352568947023609,990919.8348681781638001758677316282532219,0.8242308763132262362543329739460022424999,1600823.57874512960864608546935092663202,131727.426842691935183470344200625737512,0.5352768535233269660647551851736094111948,138200.8594236375443111582563011305328354,171418.6611373446018478112678604827019945,0.787327277111114917126584586297091522789,264526.6719298249006710365887348862421673,1251710.42016973264736468211105341705739,0.6723440742328591905452104452273694221048,1649496.96396701850592110167557713798994,304675.0874780939940605706444665207933222,0.8759957901906772811079574712993179394416,523112.4242533018797130740247678968797274,1008527.83078252441926558898924249294726,0.5583003461083168869744265792954721086169,1103600.41649207672101024895390374304431
1998,419354.7336318751493249364123958178502556,0.5611892262837464372985384609657512096365,461261.2226703852473968105896852208034064,772660.4661335654565433959344169594596951,0.3752520942488254009893327146004263301541,568287.2177973923802737983824385500135213,443225.1719225633431082823038629394285098,0.3731541141436433648120126625675616358154,324166.9409340591857027462189841667060441,131350.2475054274186285722917043176174196,0.7761533131665115841412551864338765066452,199817.9423816944759085947859798484478473,1060664.95226001318723976005510845969253,0.3979251004569223064347196639941276156598,827247.8070512368017546418936250868042228,288004.4861264477306963641206915002328356,0.4933674645497486506030379156943560764449,278500.404474351204562197984452070034204,329435.2942110021134351136305540200311848,0.4427062766008043551047721125027941411651,285852.4220628447961741941982500771495556,119509.4716431736554278976119306520581059,0.5357005468857327451376881263146905011656,125481.7270618552696770468833329954981873,323715.7002793896876803846919322873704042,0.4331202117474773687711502793473702779848,274807.3127959446734940376452713128843981,96807.2960685020734978107316853623158497,1,189742.3002942640640557090341033101390654,1010855.71862207459254843780036839376408,0.7211125616241540633212549543754229869651,1428723.88310845903735925582893552803041
1999,7163821.5023353335556327175588415244712,0.9654733306918418150558797962203082178524,13556298.06842939592963777466510729410435,1939076.12265200479374398106984831373969,0.5841588402998737089349329639160477383501,2220147.77976067875387770783711689021346,1298815.65542319314925390912691425249485,0.5989091140623168012663731889262333716622,1524630.16569875300465633209123284946154,6934432.84587439443958242182893772320261,0.990965212268688769588914030644134120342,13468692.16546677820708082247825607510768,2168464.77911294390979427679975211500829,0.605261458588794723866076135417489753902,2572476.78400448483675702721141141370605,229388.6564609391160502957299038012686002,0.821923244980895730478310601955583912386,369538.1430051586629347555950960400844892,640260.4672288116444900719429340612448343,0.5654060652708932161075157957047217201329,709534.0169877182847567910726296860013188,498134.3284018857660092597692304096704504,0.4289971829617394169069516685369841892115,418848.5182970560722592008575275924722607,800681.3270213073832446493576838428244061,0.7661869400471940539515077271227751444082,1202404.28877062914436554574846377670038,9496985.99634650445689294491824059140006,0.9959822170634633978436807818918493768959,18539305.16940123856316609430673348366854,859499.35771746111843229030082498589656,0.678790631919594678221190930926817266913,1143503.41983266152767665283866516279352
2000,135564.121308170653288595526095572864074,0.7062180154349232071591692607072185118602,187646.1364402935103451072462963767864384,1538502.48589985131990023369539477181983,0.3892433322576466902289065039845328860655,1173749.59522472919014866866288852055592,1257450.13238657110907727346756793968608,0.3833995892377393764989721298366174902483,944927.4939181466310716030196090286588589,0,0,0,1674066.60720802197318882922149034468391,0.4017436638390933824496376576514603625174,1318189.47848924507826781088370152596677,135564.121308170653288595526095572864074,0.7062180154349232071591692607072185118602,187646.1364402935103451072462963767864384,281052.3535132802108229602278268321337484,0.4709776467980053293351878726762253907463,259443.9771260626059408496496166580256008,242807.5700358842096250029980313018495649,0.5047501988443421123880748976013528392053,240212.0517427871938623670552061509793828,1014642.56235068689945227046953663783652,0.3747995889974640380362311741284633303301,745363.7260828076085214079109737585810829,19201.1102440379354172463802840670116987,1.00000000000000000000000000000000000001,37634.1760783143534178029053567713429296,682970.7086466492191293925679473968911889,0.6336688118413758693202124139647493763283,848243.3854423460189141286215531902650491
2001,2495025.71431955395012145416485822057621,0.9933036145682841618070940218699904522014,4857503.39852987904909478580746379696624,3662558.63696781554048306944355391273441,0.8453145746832613038753820332087356548216,6068187.82506347030085224659533803569213,1941203.9190071659941712636032909590433,0.7376315409750674785106364570173227817005,2806510.74672322803043902806183649999738,1070713.63913283473839489475827616832428,0.984463823358997592526599933215265429981,2065994.53209053955983818968108620023756,5086870.71215453475220962885013596498632,0.8873083722390082519143486743058166267726,8846701.02392856484325272882670835000563,1424312.07518671921172655940658205225194,0.999999999999999999999999999999999999993,2791651.66736596965498405643690082241378,1721354.71796064954631180584026295369111,0.9775768754964166532608567779933711928964,3298202.87093777511705221023153885224697,629710.4760900005150402635087754195754695,0.9690834258604905251454899775533653318838,1196074.29152029488302947590981242930165,1311493.44291716547913100009451553946783,0.6449682066841324438492445418416917199836,1657908.28495431436615584610039940139843,564663.8978179203291538914684296929852389,0.9999999999999999999999999999999999999996,1106741.23972312384514162727812219825107,3831785.77346638121986183781775148797305,0.9945826775868463492960422539888748097027,7469614.39884622185136810044974471314556
2002,18967.2300304196195608930946072413537628,1,37175.7708596224543393504654301930533751,1891295.70006861823129136584302393360943,0.6693191095323902858981143700727679205809,2481125.49351143785373673790563745468789,1874607.55858801894761086407985330639484,0.6755483681656353361099455121637305639136,2482120.63122399960140703253581068695394,18967.2300304196195608930946072413537628,1,37175.7708596224543393504654301930533751,1891295.70006861823129136584302393360943,0.6693191095323902858981143700727679205809,2481125.49351143785373673790563745468789,0,0,0,16688.1414805992836805017631706272145874,1,32708.7573019745960137834558144293405913,118801.8793671802980989945336576870172648,0.9999999999999999999999999999999999999983,232851.6835596733842740292859690665538386,1755805.67922083864951186954619561937758,0.6919499247685191673206604666150806190305,2381262.03098419608258266527723574176248,17372.4010366757063517359727028369868466,0.9999999999999999999999999999999999999942,34049.9060318843844494025064975604942191,431951.5367358238537622573579801647576604,0.5075826461756947007032821752444468645823,429732.1639106134504694665440921175714738
2003,35298.4539294079924223819698278654866773,0.6996235534333508002409473591075463669882,48403.434346839854441333388833162388291,1470902.34313226268056204463875799163627,0.6776320925575243542505461307216304033268,1953592.04013998250900870340437203387278,1417823.95749975735843115150574589541687,0.6687856423222881142365187635611537598364,1858511.79998815134879373112504426889722,35298.4539294079924223819698278654866773,0.6996235534333508002409473591075463669882,48403.434346839854441333388833162388291,1470902.34313226268056204463875799163627,0.6776320925575243542505461307216304033268,1953592.04013998250900870340437203387278,0,0,0,53078.3856325053221308931330120962194021,1,104033.6358397104313765505407037085900281,132695.9640812633053272328325302405485056,1,260084.089599276078441376351759271475071,1285127.99341849405310391867321565486836,0.64538008253544207142952647963174317827,1625616.18050362810442730588380227106468,39263.0492506321124670060895095534852751,0.7003922803981039487075395315415805365332,53899.0917360652516084378069058088161544,1200943.53209599550599796518123178644412,0.9126269781371507942809706146935940691282,2148186.39455584449795396533766869035932
2004,1384924.03228090496500002331316417823692,0.9880128932025478286971074086156087106616,2681912.68799920749120228646628896243349,811870.7527913859673951725483315906050359,0.5952962516866168428851302589016262375197,947275.0873417798098096298841028444463532,811870.7527913859673951725483315906050359,0.5952962516866168428851302589016262375197,947275.0873417798098096298841028444463532,1384924.03228090496500002331316417823692,0.9880128932025478286971074086156087106616,2681912.68799920749120228646628896243349,811870.7527913859673951725483315906050359,0.5952962516866168428851302589016262375197,947275.0873417798098096298841028444463532,0,0,0,0,0,0,0,0,0,811870.7527913859673951725483315906050359,0.5952962516866168428851302589016262375197,947275.0873417798098096298841028444463532,1119790.7605520666046367867140110587593,1.00000000000000000000000000000000000001,2194789.89068205054508810195946167516825,548805.745587825115407635400047863447934,0.5353545291058939867435108000564766921208,575859.057339567175437271411986125387994
2005,55258.2099403999904301391594465835588555,1,108306.091483183981243072752515303775357,247739.2105813422714923658395860464495377,0.5901987253777037320010862091913335161976,286582.1179699260139730292906386261820777,247739.2105813422714923658395860464495377,0.5901987253777037320010862091913335161976,286582.1179699260139730292906386261820777,36838.8066269333269534261062977223725702,1,72204.0609887893208287151683435358502376,266158.6138948089349690788927349076358228,0.5596218600341687918663783712163980242179,291938.430000981112074715704176104978698,18419.4033134666634767130531488611862851,1.00000000000000000000000000000000000001,36102.030494394660414357584171767925119,0,0,0,0,0,0,247739.2105813422714923658395860464495377,0.5901987253777037320010862091913335161976,286582.1179699260139730292906386261820777,0,0,0,1326133.56261880249227439422747530646029,0.7832375596583873151574793837759664463301,2035808.126118602693674461487939019606
2006,97830.7472296703580051822561395348393456,0.7054075255067740446968692853552182426975,135260.6688306504962601694134165243121185,1410781.75559432027827290140502484724037,0.4020393713477146957030261183909583477938,1111692.0278508129772105148845690614887,1230657.57646529423923040251404916874692,0.4029355580345417549849729709954463373184,971916.3667520609458144990177591420180371,18594.0575288628812339298488507130000132,1,36444.3527565712472185025037473974800259,1490018.44529512775504415381231366907971,0.3960778196389280095447991897013515837799,1156719.98378718788268414557544919161454,79236.6897008074767712524072888218393324,0.6995915912510933231554657339006496283937,108649.310793183759968144050642612049224,180124.1791290260390424988909756784934404,0.670887887215304085314522167160389968187,236852.5347456359726099471320579113982418,57880.6814252788128261789656057706519925,1,113446.1355935464731393107725873104779053,1172776.89504001542640422354844339809494,0.3985434734452067871087458999712195388683,916109.0515580436126797486228748496511062,17724.2383498773941819399716098075978062,0.9999999999999999999999999999999999999944,34739.5071657596925966023443552228917,952351.0227491138561786755564358612747541,0.5859439692074940549021242257313543295455,1093727.70316292718946434914863283603341
2007,224266.6784231470037906148926584870985104,1,439562.6897093681274296051896106347130804,1229604.42811556202859913688654085282285,0.5500352721693016419417230914454470718875,1325598.58030707844664626517311638991699,1100181.5290548273253979320745851461036,0.522340093157679658711019573196329697211,1126351.08785863963232690668042302154032,93444.4493429779182460895386077029577126,1,183151.1207122367197623354956710977971169,1360426.65719573111414366224059163696365,0.5866245067109227132861632271857128860852,1564196.84871991722818738859862505635445,130822.2290801690855445253540507841407977,0.9999999999999999999999999999999999999992,256411.5689971314076672696939395369159633,129422.8990607347032012048119557067192485,0.8733418091949845828297773336034841069106,221539.640481245356427800234988290770791,260667.0753408067860510042140875486725769,0.932830822004884290054876422534929204623,476590.2330331568400385601525663932355111,839514.453714020539346927860497597431022,0.4475220697792372587829257072090306073866,736374.4420339409294876719153506732678429,72345.4567285433811937406408384158613724,0.8015701718439034820049033571356623678997,113660.3219567674349102818790550472786635,843877.6807102999383087881083816677337875,0.7763105660765013565919974248511054359267,1284017.87362261450844020129175764273323
2008,416152.4562705729076154459286271079749835,0.9561733771690356742781558690025527149669,779911.2430776693423412509530312674341222,1305314.54029782937841190620137276734239,0.4645291342580144163812060308713855933959,1188459.00134433955498288403135042389989,1085325.46698791296856596549959692738481,0.4780948814491279528933528476915619145747,1017021.55892767914133816292329951476815,289420.1650546128701242974319669664614814,0.9999999999999999999999999999999999999993,567263.5235070412254436229666552542645032,1432046.8315137894159030546980329088559,0.4702207517253483578801071936878450829687,1319821.14973582199354953789748768689192,126732.2912159600374911484966601415135023,0.8648015710856074695066327097808227016811,214812.6377196483040446266231189817028371,219989.0733099164098459407017758399575856,0.6809500824773258112107535455447835334949,293611.0921244161850028775517852082144937,203891.4620199329468515210560411411468516,0.5484427936079635190735719778805787029065,219172.6939251270748932189800415791675853,881434.0049679800217144444435557862379532,0.5201384176372033776932513645862970078809,898596.6696475092591484689154007998852851,237145.0331328027983643406072363968430617,0.8425444973876854718728177878789063060711,391618.2757877721699601044249874054801286,1501812.37403136464517070568386683828343,0.7229176673186918201437405414354705817878,2127945.92844279763289077257753681623828
2009,35589.6325305704529173009629879217105691,1,69755.6797599180877179098874563265527154,887543.018753900756510129188834382255211,0.6898261980056761370392127125599229042121,1200010.83533922838977728569831633758087,669817.82277438448736595713119235992645,0.6635965772000529005369315236872282389761,871198.0764997194472555818557443232588844,0,0,0,923132.65128447120942743015182230396578,0.6998458562462920577115591536748645524927,1266259.09910349736685756244901864160344,35589.6325305704529173009629879217105691,1,69755.6797599180877179098874563265527154,217725.1959795162691441720576420223287611,0.7754137867837197341648460794280298252037,330901.1526377002739826765622115977404118,321478.8829293975048940761919255221413307,0.7815973409649459958099484024335607075585,492483.3985450365865581274929984153883463,348338.9398449869824718809392668377851193,0.5809615724316591584842677833206037057023,396648.2149337807039024913296264628150385,19190.6165306497436721059080654582104,1,37613.608400073497597327579808298092384,296832.1762257692763790832776928522714815,0.5481004272670454592599244444210486729774,318879.9315272641042759722841689704586084
2010,81953.8053573742422652858229193962975105,0.5946392128802500963075043532651100319614,95516.5747680904760219107273562194448052,1430120.90173539725386257918180999831604,0.4568938478908514647240571358574320492196,1280690.3458163190577705957823700524382,1174695.68844294062412548590664159391204,0.4452615940339315304221622467836289879791,1025171.87449214507195592022302277047841,44798.8875346314375794813030062237677689,0.7038648680139731341061096369909905432773,61803.4316010029188835612395110785779565,1467275.81955814005854838370172317084578,0.4498610766191721560492876557489269663441,1293737.74857205800546367292508494693358,37154.9178227428046858045199131725297416,0.6993533955073801087542976838740526483371,50929.4591607003956324190922525665727991,255425.2132924566297370932751684044040029,0.5453178650632398737556511341132207863707,273004.3467120916512248667772037063620827,323426.5333013174361903702943759562090814,0.5789258055597667958059801933388267779824,366990.3340085011595222512979375930567974,851269.1551416231879351156122656377029518,0.4195187974470842297366390195984265705538,699961.8880468659123515974935016765336883,0,0,0,558528.3670845712983113572486648050601794,0.7284476640994744575440081357500511773427,797443.0212986575277086660739085850649369
